header seq inter ros topic,header secs inter ros topic,header nsecs inter ros topic,elapsedTimeFromGameStart,currentLocalTime,gameTask,vocab,taskStartTime,taskEndTime,taskDuration,taskTurnIndex,whoseTurn,robotRole,turnStartTime,turnEndTime,turnDuration,numCollectedObjectsForTask,numChildCollectedObjectsForTask,numTotalAttemptsForTask,numChildTotalAttemptsForTask,numChildClickCancelForTurn,numHintButtonPressedForTask,numQsAskeddForTask,numPositiveAnswerForTask,numNegativeAnswerForTask,numOtherAnswerForTask,numNoAnswerAttempt1ForTask,gameStateTrigger,currentInteractionState,currentGameState,robotPhysicalBehavior,robotVirtualBehavior,robotClickedObj,clickedRightObject,clickedObjName,numTouchAbsenceAlertPerTask,objectWordPronounced,isDraggin,pointerClick,onPinch,isScalingUp,isScalingDown,maxElapsedTimeReached
43,1522163958,426265478,0:00:51.793354,2018-05-17 19:58:35.544124,1,gigantic,2018-03-27 11:18:26.633365,None,,1,robotTURN,NOVICE,2018-03-27 11:19:00.631448,None,,1,1,1,1,0,1,0,0,1,0,0,OBJECT_CLICKED,robotTURN,missionMODE,,VIRTUALLY_CLICK_WRONG_OBJ,painting,,,0,False,False,False,False,False,False,
46,1522163958,473928213,0:00:51.840445,2018-05-17 19:58:35.591227,1,gigantic,2018-03-27 11:18:26.633365,None,,1,robotTURN,NOVICE,2018-03-27 11:19:00.631448,None,,1,1,1,1,0,1,0,0,1,0,0,OBJECT_CLICKED,robotTURN,missionMODE,,VIRTUALLY_CLICK_WRONG_OBJ,painting,,,0,False,,,,,,
47,1522163958,527881383,0:00:51.895024,2018-05-17 19:58:35.645792,1,gigantic,2018-03-27 11:18:26.633365,None,,1,robotTURN,NOVICE,2018-03-27 11:19:00.631448,None,,1,1,1,1,0,1,0,0,1,0,0,OBJECT_CLICKED,robotTURN,pronunciationPANEL,,VIRTUALLY_CLICK_WRONG_OBJ,painting,,,0,False,False,False,False,False,False,
48,1522163958,629090547,0:00:51.995665,2018-05-17 19:58:35.746435,1,gigantic,2018-03-27 11:18:26.633365,None,,1,robotTURN,NOVICE,2018-03-27 11:19:00.631448,None,,1,1,1,1,0,1,0,0,1,0,0,OBJECT_CLICKED,robotTURN,pronunciationPANEL,,VIRTUALLY_CLICK_WRONG_OBJ,painting,,,0,False,False,False,False,False,False,
49,1522163958,730076313,0:00:52.099970,2018-05-17 19:58:35.850753,1,gigantic,2018-03-27 11:18:26.633365,None,,1,robotTURN,NOVICE,2018-03-27 11:19:00.631448,None,,1,1,1,1,0,1,0,0,1,0,0,OBJECT_CLICKED,robotTURN,pronunciationPANEL,,VIRTUALLY_CLICK_WRONG_OBJ,painting,,,0,False,False,False,False,False,False,
50,1522163958,831053495,0:00:52.197860,2018-05-17 19:58:35.948756,1,gigantic,2018-03-27 11:18:26.633365,None,,1,robotTURN,NOVICE,2018-03-27 11:19:00.631448,None,,1,1,1,1,0,1,0,0,1,0,0,OBJECT_CLICKED,robotTURN,pronunciationPANEL,,VIRTUALLY_CLICK_WRONG_OBJ,painting,,,0,False,False,False,False,False,False,
51,1522163958,931938409,0:00:52.299046,2018-05-17 19:58:36.049819,1,gigantic,2018-03-27 11:18:26.633365,None,,1,robotTURN,NOVICE,2018-03-27 11:19:00.631448,None,,1,1,1,1,0,1,0,0,1,0,0,OBJECT_CLICKED,robotTURN,pronunciationPANEL,,VIRTUALLY_CLICK_WRONG_OBJ,painting,,,0,False,False,False,False,False,False,
52,1522163959,32705307,0:00:52.399504,2018-05-17 19:58:36.150275,1,gigantic,2018-03-27 11:18:26.633365,None,,1,robotTURN,NOVICE,2018-03-27 11:19:00.631448,None,,1,1,1,1,0,1,0,0,1,0,0,OBJECT_CLICKED,robotTURN,pronunciationPANEL,,VIRTUALLY_CLICK_WRONG_OBJ,painting,,,0,False,False,False,False,False,False,
53,1522163959,133650302,0:00:52.500382,2018-05-17 19:58:36.251163,1,gigantic,2018-03-27 11:18:26.633365,None,,1,robotTURN,NOVICE,2018-03-27 11:19:00.631448,None,,1,1,1,1,0,1,0,0,1,0,0,OBJECT_CLICKED,robotTURN,pronunciationPANEL,,VIRTUALLY_CLICK_WRONG_OBJ,painting,,,0,False,False,False,False,False,False,
54,1522163959,234478712,0:00:52.600686,2018-05-17 19:58:36.351465,1,gigantic,2018-03-27 11:18:26.633365,None,,1,robotTURN,NOVICE,2018-03-27 11:19:00.631448,None,,1,1,1,1,0,1,0,0,1,0,0,OBJECT_CLICKED,robotTURN,pronunciationPANEL,,VIRTUALLY_CLICK_WRONG_OBJ,painting,,,0,False,False,False,False,False,False,
