frame_number, elapsed_time (sec), localtime,emotion-1,emotion-2,emotion-3,emotion-4,emotion-5,emotion-6,emotion-7,emotion-8,emotion-9,expression-1,expression-2,expression-3,expression-4,expression-5,expression-6,expression-7,expression-8,expression-9,expression-10,expression-11,expression-12,expression-13,expression-14,expression-15,expression-16,expression-17,expression-18,expression-19,expression-20,expression-21,measurement-1,measurement-2,measurement-3,measurement-4
48,11.847137212753296,2018-1-20-9-13-47-5-20-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,12.138222217559814,2018-1-20-9-13-48-5-20-0,0.0005211748648434877,0.023175667971372604,3.337873935699463,0.29075103998184204,17.264368057250977,0.044105760753154755,0.028529128059744835,0.12264052778482437,-5.500877380371094,93.34730529785156,17.264368057250977,8.248219815487623e-12,3.0827708441538704e-11,5.913628228881862e-06,6.27678819000721e-05,1.33786775061151e-12,3.609112297908723e-07,7.532681145505649e-09,2.379798752372153e-05,33.695377349853516,0.6446368098258972,0.0005028973100706935,0.8356174826622009,0.0011935411021113396,66.84270477294922,9.801361111616558e-11,6.294555432440063e-10,0.002179374685510993,2.083761273752316e-06,63.389312744140625,50.62574005126953,-8.793476104736328,-1.5044385194778442,-14.946786880493164
50,12.413696765899658,2018-1-20-9-13-48-5-20-0,0.0018243297236040235,0.004527274984866381,1.4280545711517334,0.20959359407424927,0.03968372941017151,0.0045513431541621685,0.02409951016306877,0.19210202991962433,-0.18184661865234375,92.20563507080078,0.03968372941017151,1.3456659786470482e-08,3.4141197602366447e-07,0.13198503851890564,8.110970156849362e-06,5.8684641146555805e-08,0.0019776744302362204,1.5206460091121698e-07,2.811515287248767e-06,5.0947551244462375e-06,0.43076062202453613,0.00155154918320477,0.7879085540771484,2.0082484297745395e-07,0.0033475521486252546,7.850816885479617e-09,0.0002149022911908105,0.11120101809501648,6.180654600029811e-05,75.61653137207031,52.21476745605469,-9.646897315979004,-17.353532791137695,-17.169456481933594
51,12.679283380508423,2018-1-20-9-13-48-5-20-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,12.986425399780273,2018-1-20-9-13-48-5-20-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,13.267095565795898,2018-1-20-9-13-49-5-20-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,13.507357835769653,2018-1-20-9-13-49-5-20-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,13.751194953918457,2018-1-20-9-13-49-5-20-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,13.976953268051147,2018-1-20-9-13-49-5-20-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,14.205725193023682,2018-1-20-9-13-50-5-20-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
